tool,formula,variables,formula_id,output,time
all,(G(!p2|Fp3)&G(!p0|G!p3)&(F(p0&p2)|(p0&F!p1&Fp1))&G(p1|!p3)),#r#s#p#q,281,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && (((((r) && (<>(s)) && (<>(!s)))) || (<>(((r) && (p)))))) && ([](((!r) || ([](!q))))) && ([](((!p) || (<>(q)))))),#r#s#p#q,281,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (((((r) & (F(s)) & (F(!s)))) | (F(((r) & (p)))))) & (G(((!r) | (G(!q))))) & (G(((!p) | (F(q)))))),#r#s#p#q,281,SAT,0.03
all,(G(!p0|G!p3)&G(!p2|Fp3)&((p0&Fp1)|F(p2&G!p3))&G(p1|!p3)),#r#s#p#q,287,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!r) || ([](!q))))) && ([](((!p) || (<>(q))))) && (((((r) && (<>(s)))) || (<>(((p) && ([](!q)))))))),#r#s#p#q,287,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!r) | (G(!q))))) & (G(((!p) | (F(q))))) & (((((r) & (F(s)))) | (F(((p) & (G(!q)))))))),#r#s#p#q,287,SAT,0.03
all,(G(!p2|Fp3)&((p0&Fp1)|F(p2&G!p3))&G(!p0|Gp3)&G(p1|!p3)),#r#s#p#q,306,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!r) || ([](q))))) && ([](((!p) || (<>(q))))) && (((((r) && (<>(s)))) || (<>(((p) && ([](!q)))))))),#r#s#p#q,306,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!r) | (G(q))))) & (G(((!p) | (F(q))))) & (((((r) & (F(s)))) | (F(((p) & (G(!q)))))))),#r#s#p#q,306,SAT,0.03
all,(G(!p2|Fp3)&G(!p3|G!p1)&G(p1|!p3)&((p0&Fp1)|F(p0&Xp2))),#r#s#p#q,311,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!q) || ([](!s))))) && (((((r) && (<>(s)))) || (<>(((r) && (X(p)))))))),#r#s#p#q,311,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!q) | (G(!s))))) & (((((r) & (F(s)))) | (F(((r) & (X(p)))))))),#r#s#p#q,311,SAT,0.03
all,(G(!p2|Fp3)&(F(p0&p2)|(p0&FGp1&Fp1))&G(!p3|G!p1)&G(p1|!p3)),#r#s#p#q,317,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && ([](((!p) || (<>(q))))) && ([](((!q) || ([](!s))))) && (((<>(((r) && (p)))) || (((r) && (<>(s)) && (<>([](s)))))))),#r#s#p#q,317,UNSAT,0.03
NUSMV_v260,((G(((s) | (!q)))) & (G(((!p) | (F(q))))) & (G(((!q) | (G(!s))))) & (((F(((r) & (p)))) | (((r) & (F(s)) & (F(G(s)))))))),#r#s#p#q,317,SAT,0.03
all,(G(!p2|Fp3)&(F(p0&p2)|(p0&F!p1&Fp1))&G(!p3|G!p1)&G(p1|!p3)),#r#s#p#q,319,DIFF-SAT-UNSAT,no-time
SPIN_v651,(([](((s) || (!q)))) && (((((r) && (<>(s)) && (<>(!s)))) || (<>(((r) && (p)))))) && ([](((!p) || (<>(q))))) && ([](((!q) || ([](!s)))))),#r#s#p#q,319,UNSAT,0.03
