tool,formula,variables,formula_id,output,time
SPIN_v651,(([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && (((((r) && (<>(s)))) || (<>(((p) && ([](!q))))))) && ([](((!r) || ([](((r) || (!s)))))))),#p#q#r#s,43,UNSAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (((((r) & (F(s)))) | (F(((p) & (G(!q))))))) & (G(((!r) | (G(((r) | (!s)))))))),#p#q#r#s,43,SAT,0.03
all,(((Gp0&G!p1)|F(Fp3&p2))&G(Fp1|!p0)&G(p3|!p1)&G(G(p2|!p3)|!p2)),#p#q#r#s,44,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && ((((([](p)) && ([](!q)))) || (<>(((r) && (<>(s))))))) && ([](((!r) || ([](((r) || (!s)))))))),#p#q#r#s,44,SAT,0.03
NUSMV_v260,((G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (((((G(p)) & (G(!q)))) | (F(((r) & (F(s))))))) & (G(((!r) | (G(((r) | (!s)))))))),#p#q#r#s,44,SAT,0.02
all,((F(Gp0&GX!p1)|F(G!p1&p0)|FX(Xp3&p2))&G(Fp1|!p0)&G(p3|!p1)&G(G(p2|!p3)|!p2)),#p#q#r#s,45,SAT,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ([](((r) || (!s))))))) && (((<>(((p) && ([](!q))))) || (<>((([](p)) && ([](X(!q)))))) || (<>(X(((r) && (X(s))))))))),#p#q#r#s,45,SAT,0.02
NUSMV_v260,((G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (G(((!r) | (G(((r) | (!s))))))) & (((F(((p) & (G(!q))))) | (F(((G(p)) & (G(X(!q)))))) | (F(X(((r) & (X(s))))))))),#p#q#r#s,45,SAT,0.03
all,(G(Fp1|!p0)&G(p3|!p1)&(F(Fp3&p2)WF(G!p1&p0))&G(G(p2|!p3)|!p2)),#p#q#r#s,46,DIFF,no-time
SPIN_v651,(([](((!q) || (s)))) && ([](((!p) || (<>(q))))) && ([](((!r) || ([](((r) || (!s))))))) && (((<>(((p) && ([](!q))))) || ([](<>(((r) && (<>(s))))))))),#p#q#r#s,46,TIMEOUT,300.0
NUSMV_v260,((G(((!q) | (s)))) & (G(((!p) | (F(q))))) & (G(((!r) | (G(((r) | (!s))))))) & (((F(((p) & (G(!q))))) | (G(F(((r) & (F(s))))))))),#p#q#r#s,46,SAT,0.03
